"ns","times","ks","value"
"12136","2090","totPop",1.07909787417719
"12136","2090","ruralPop",1
"12136","2100","totPop",1.07909787417719
"12136","2100","ruralPop",1
"12137","2000","totPop",1.56922089823909
"12137","2000","ruralPop",0.900735291032439
"12137","2010","totPop",1.10480075359142
"12137","2010","ruralPop",0.804177545349978
"12137","2020","totPop",1.15383891560741
"12137","2020","ruralPop",0.780000001515447
"12137","2030","totPop",1.15960811063806
"12137","2030","ruralPop",0.781094528956537
"12137","2040","totPop",1.1682619035709
"12137","2040","ruralPop",0.780246916824571
"12137","2050","totPop",1.18845409120731
"12137","2050","ruralPop",0.766990287596189
"12137","2060","totPop",1.18845409120731
"12137","2060","ruralPop",0.766990287596189
"12137","2070","totPop",1.18845409120731
"12137","2070","ruralPop",0.766990287596189
"12137","2080","totPop",1.18268489695036
"12137","2080","ruralPop",0.76585365492414
"12137","2090","totPop",1.17403110633865
"12137","2090","ruralPop",0.766584764371303
"12137","2100","totPop",1.14518513195908
"12137","2100","ruralPop",0.775818644425716
"12138","2000","totPop",26.4373899859898
"12138","2000","ruralPop",1
"12138","2010","totPop",18.3357729429085
"12138","2010","ruralPop",1
"12138","2020","totPop",19.3969415808647
"12138","2020","ruralPop",1
"12138","2030","totPop",20.080579213619
"12138","2030","ruralPop",1
"12138","2040","totPop",20.6825887860243
"12138","2040","ruralPop",1
"12138","2050","totPop",20.6927921184124
"12138","2050","ruralPop",1
"12138","2060","totPop",20.6825886108688
"12138","2060","ruralPop",1
"12138","2070","totPop",20.2642434003369
"12138","2070","ruralPop",0.65256798503583
"12138","2080","totPop",19.9071192350666
"12138","2080","ruralPop",0.190158905818597
"12138","2090","totPop",19.2744989648749
"12138","2090","ruralPop",0.0677607170134983
"12138","2100","totPop",18.6316758877616
"12138","2100","ruralPop",0.0208105199656941
"12140","2000","totPop",27.4767607869493
"12140","2000","ruralPop",1
"12140","2010","totPop",19.1718480489259
"12140","2010","ruralPop",1
"12140","2020","totPop",20.5704400448557
"12140","2020","ruralPop",1
"12140","2030","totPop",21.3006781167366
"12140","2030","ruralPop",1
"12140","2040","totPop",22.006162656963
"12140","2040","ruralPop",1
"12140","2050","totPop",22.0185395290222
"12140","2050","ruralPop",1
"12140","2060","totPop",22.006162656963
"12140","2060","ruralPop",1
"12140","2070","totPop",21.8947699585746
"12140","2070","ruralPop",1
"12140","2080","totPop",21.2511706284998
"12140","2080","ruralPop",0.0390215498911308
"12140","2090","totPop",20.5333092162141
"12140","2090","ruralPop",0.0102471390581242
"12140","2100","totPop",19.8030709318693
